kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -14            14             ACCURACY=0.836555             PRECISION=0.840989            F1=0.719033                   CLASSERROR=0.163445           
RBF        3    0         -14            14.2           ACCURACY=0.833040             PRECISION=0.833922            F1=0.712991                   CLASSERROR=0.166960           
RBF        3    0         -14            14.4           ACCURACY=0.833919             PRECISION=0.832168            F1=0.715789                   CLASSERROR=0.166081           
RBF        3    0         -14            14.6           ACCURACY=0.833919             PRECISION=0.832168            F1=0.715789                   CLASSERROR=0.166081           
RBF        3    0         -14            14.8           ACCURACY=0.833040             PRECISION=0.831579            F1=0.713855                   CLASSERROR=0.166960           
RBF        3    0         -14            15             ACCURACY=0.829525             PRECISION=0.826855            F1=0.706949                   CLASSERROR=0.170475           
RBF        3    0         -14            15.2           ACCURACY=0.827768             PRECISION=0.816609            F1=0.706587                   CLASSERROR=0.172232           
RBF        3    0         -14            15.4           ACCURACY=0.827768             PRECISION=0.816609            F1=0.706587                   CLASSERROR=0.172232           
RBF        3    0         -14            15.6           ACCURACY=0.826889             PRECISION=0.811644            F1=0.706408                   CLASSERROR=0.173111           
RBF        3    0         -14            15.8           ACCURACY=0.823374             PRECISION=0.804795            F1=0.700447                   CLASSERROR=0.176626           
RBF        3    0         -14            16             ACCURACY=0.824253             PRECISION=0.807560            F1=0.701493                   CLASSERROR=0.175747           
RBF        3    0         -13.8          14             ACCURACY=0.830404             PRECISION=0.829787            F1=0.708018                   CLASSERROR=0.169596           
RBF        3    0         -13.8          14.2           ACCURACY=0.828647             PRECISION=0.821678            F1=0.706767                   CLASSERROR=0.171353           
RBF        3    0         -13.8          14.4           ACCURACY=0.829525             PRECISION=0.826855            F1=0.706949                   CLASSERROR=0.170475           
RBF        3    0         -13.8          14.6           ACCURACY=0.827768             PRECISION=0.821053            F1=0.704819                   CLASSERROR=0.172232           
RBF        3    0         -13.8          14.8           ACCURACY=0.826011             PRECISION=0.817544            F1=0.701807                   CLASSERROR=0.173989           
RBF        3    0         -13.8          15             ACCURACY=0.826011             PRECISION=0.815331            F1=0.702703                   CLASSERROR=0.173989           
RBF        3    0         -13.8          15.2           ACCURACY=0.827768             PRECISION=0.816609            F1=0.706587                   CLASSERROR=0.172232           
RBF        3    0         -13.8          15.4           ACCURACY=0.826011             PRECISION=0.815331            F1=0.702703                   CLASSERROR=0.173989           
RBF        3    0         -13.8          15.6           ACCURACY=0.825132             PRECISION=0.812500            F1=0.701649                   CLASSERROR=0.174868           
RBF        3    0         -13.8          15.8           ACCURACY=0.823374             PRECISION=0.809028            F1=0.698651                   CLASSERROR=0.176626           
