window_id,image_path,xmin,ymin,xmax,ymax,label
14_023_2_0093_1,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,386,446,466,526,0
14_023_2_0093_2,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,390,433,470,513,0
14_023_2_0093_3,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,462,436,542,516,0
14_023_2_0093_4,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,516,415,596,495,0
14_023_2_0093_5,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,547,454,627,534,0
14_023_2_0093_6,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,626,502,706,582,0
14_023_2_0093_7,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,538,369,618,449,0
14_023_2_0093_8,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,596,298,676,378,0
14_023_2_0093_9,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,700,347,780,427,1
14_023_2_0093_10,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,782,413,862,493,0
14_023_2_0093_11,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,753,382,833,462,0
14_023_2_0093_12,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,791,375,871,455,0
14_023_2_0093_13,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,849,355,929,435,0
14_023_2_0093_14,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,848,333,928,413,0
14_023_2_0093_15,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,812,320,892,400,0
14_023_2_0093_16,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,704,335,784,415,1
14_023_2_0093_17,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,845,425,925,505,0
14_023_2_0093_18,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,919,477,999,557,0
14_023_2_0093_19,C:\Users\Lenovo\IPA_ML_StenosisDetection_Project\dataset_processed\023\2\14_023_2_0093_processed.png,860,363,940,443,0
